Date,Open,High,Low,Close
1971-03-22,0.5371,0.557,0.5354,0.5565
1971-06-21,0.5565,0.5794,0.5565,0.5794
1971-09-20,0.5846,0.6001,0.5824,0.5985
1971-12-20,0.5986,0.618,0.5946,0.5949
1972-03-20,0.6145,0.6166,0.6104,0.6155
1972-06-19,0.615,0.6202,0.6097,0.6107
1972-09-18,0.6099,0.6115,0.6067,0.6092
1972-12-18,0.6088,0.704,0.6068,0.6884
1973-03-19,0.6898,0.7557,0.682,0.7557
1973-06-18,0.7613,0.862,0.7592,0.8053
1973-09-24,0.8076,0.8144,0.7301,0.7301
1973-12-24,0.7293,0.737,0.6762,0.7358
1974-03-18,0.7375,0.8139,0.7375,0.766
1974-06-24,0.7565,0.7777,0.7292,0.7327
1974-09-23,0.7355,0.8054,0.7328,0.8012
1974-12-23,0.7986,0.8563,0.7986,0.8403
1975-03-24,0.8366,0.8371,0.8132,0.833
1975-06-23,0.8316,0.8328,0.7399,0.7399
1975-09-22,0.7331,0.7635,0.73,0.745
1975-12-22,0.7452,0.7711,0.7442,0.7711
1976-03-22,0.7678,0.7718,0.7515,0.7576
1976-06-21,0.7559,0.7865,0.7555,0.7865
1976-09-20,0.7871,0.8177,0.7867,0.8177
1976-12-20,0.8232,0.8322,0.8023,0.8159
1977-03-21,0.8163,0.8306,0.8152,0.8281
1977-06-20,0.8266,0.868,0.8266,0.8379
1977-09-19,0.8386,0.9138,0.8368,0.9123
1977-12-19,0.9234,0.9704,0.9059,0.9537
1978-03-20,0.9549,0.9758,0.9141,0.9322
1978-06-19,0.9323,1.0027,0.9323,0.9863
1978-09-18,0.9875,1.1315,0.9875,1.0304
1978-12-18,1.049,1.0716,1.0341,1.0461
1979-03-19,1.0471,1.0499,1.0154,1.0317
1979-06-18,1.0316,1.1051,1.0316,1.1051
1979-09-24,1.1006,1.1418,1.0762,1.1228
1979-12-24,1.1263,1.1417,1.0385,1.0385
1980-03-24,1.033,1.1111,0.9875,1.1031
1980-06-23,1.1035,1.1247,1.0792,1.087
1980-09-22,1.0793,1.0865,0.9661,0.9882
1980-12-22,0.9965,1.0079,0.8785,0.943
1981-03-23,0.9342,0.9366,0.8079,0.8203
